x,y,sxx,sxy,syy
1.4,0.1,-177.489,-4.71877,0.0745279
1.5,0.1,-173.385,-4.66396,0.0744446
1.6,0.1,-169.329,-4.60904,0.0744369
1.7,0.1,-165.321,-4.55412,0.0744484
1.8,0.1,-161.361,-4.49921,0.0744607
1.9,0.1,-157.449,-4.44431,0.0744692
2,0.1,-153.585,-4.38943,0.0744742
2.1,0.1,-149.769,-4.33456,0.0744769
2.2,0.1,-146.001,-4.27969,0.0744782
2.3,0.1,-142.281,-4.22482,0.0744788
2.4,0.1,-138.609,-4.16995,0.074479
2.5,0.1,-134.985,-4.11508,0.0744791
2.6,0.1,-131.409,-4.06021,0.0744791
2.7,0.1,-127.881,-4.00535,0.0744792
2.8,0.1,-124.401,-3.95048,0.0744792
2.9,0.1,-120.969,-3.89561,0.0744791
3,0.1,-117.585,-3.84074,0.0744791
3.1,0.1,-114.249,-3.78587,0.0744791
3.2,0.1,-110.961,-3.73101,0.0744791
3.3,0.1,-107.721,-3.67614,0.0744791
3.4,0.1,-104.529,-3.62127,0.0744791
3.5,0.1,-101.385,-3.5664,0.0744791
3.6,0.1,-98.2891,-3.51154,0.0744791
3.7,0.1,-95.2411,-3.45667,0.0744791
3.8,0.1,-92.2411,-3.4018,0.0744791
3.9,0.1,-89.2891,-3.34693,0.0744791
4,0.1,-86.3851,-3.29206,0.0744791
4.1,0.1,-83.5291,-3.2372,0.0744791
4.2,0.1,-80.7211,-3.18233,0.0744791
4.3,0.1,-77.9611,-3.12746,0.0744791
4.4,0.1,-75.2491,-3.07259,0.0744791
4.5,0.1,-72.5851,-3.01773,0.0744791
4.6,0.1,-69.9691,-2.96286,0.0744791
4.7,0.1,-67.4011,-2.90799,0.0744791
4.8,0.1,-64.8811,-2.85312,0.0744791
4.9,0.1,-62.4091,-2.79826,0.0744791
5,0.1,-59.9851,-2.74339,0.0744791
5.1,0.1,-57.6091,-2.68852,0.0744791
5.2,0.1,-55.2811,-2.63365,0.0744791
5.3,0.1,-53.0011,-2.57878,0.0744791
5.4,0.1,-50.7691,-2.52392,0.0744791
5.5,0.1,-48.5851,-2.46905,0.0744791
5.6,0.1,-46.4491,-2.41418,0.0744791
5.7,0.1,-44.3611,-2.35931,0.0744791
5.8,0.1,-42.3211,-2.30445,0.0744791
5.9,0.1,-40.3291,-2.24958,0.0744791
6,0.1,-38.3851,-2.19471,0.0744791
6.1,0.1,-36.4891,-2.13984,0.0744791
6.2,0.1,-34.6411,-2.08497,0.0744791
6.3,0.1,-32.8411,-2.03011,0.0744791
6.4,0.1,-31.0891,-1.97524,0.0744791
6.5,0.1,-29.3851,-1.92037,0.0744791
6.6,0.1,-27.7291,-1.8655,0.0744791
6.7,0.1,-26.1211,-1.81064,0.0744791
6.8,0.1,-24.5611,-1.75577,0.0744791
6.9,0.1,-23.0491,-1.7009,0.0744791
7,0.1,-21.5851,-1.64603,0.0744791
7.1,0.1,-20.1691,-1.59116,0.0744791
7.2,0.1,-18.8011,-1.5363,0.0744791
7.3,0.1,-17.4811,-1.48143,0.0744791
7.4,0.1,-16.2091,-1.42656,0.0744791
7.5,0.1,-14.9851,-1.37169,0.0744791
7.6,0.1,-13.8091,-1.31683,0.0744791
7.7,0.1,-12.6811,-1.26196,0.0744791
7.8,0.1,-11.6011,-1.20709,0.0744791
7.9,0.1,-10.5691,-1.15222,0.0744792
8,0.1,-9.58509,-1.09735,0.0744792
8.1,0.1,-8.64909,-1.04249,0.0744792
8.2,0.1,-7.76109,-0.98762,0.0744793
8.3,0.1,-6.92109,-0.932752,0.0744794
8.4,0.1,-6.12909,-0.877885,0.0744796
8.5,0.1,-5.38508,-0.823019,0.0744801
8.6,0.1,-4.68908,-0.768153,0.0744806
8.7,0.1,-4.04108,-0.713288,0.074481
8.8,0.1,-3.44108,-0.658422,0.0744803
8.9,0.1,-2.88909,-0.603549,0.0744754
9,0.1,-2.38512,-0.548654,0.0744586
9.1,0.1,-1.9292,-0.493695,0.0744123
9.2,0.1,-1.52139,-0.438582,0.0742988
9.3,0.1,-1.16183,-0.38312,0.0740439
9.4,0.1,-0.850766,-0.326934,0.0735137
9.5,0.1,-0.588564,-0.269357,0.0724964
9.6,0.1,-0.3757,-0.209377,0.0707378
9.7,0.1,-0.212365,-0.145924,0.0682227
9.8,0.1,-0.0972942,-0.0795715,0.0664943
9.9,0.1,-0.026221,-0.0186689,0.074519
10,0.1,0.00187188,0.00735968,0.1259
0,0.2,-163.296,-6.26938,-48.7597
0.1,0.2,-173.626,-14.699,-22.632
0.2,0.2,-175.165,-12.2023,-6.78993
0.3,0.2,-171.653,-9.83853,-1.24232
0.4,0.2,-167.325,-8.98289,0.258951
0.5,0.2,-163.24,-8.81146,0.502217
0.6,0.2,-159.466,-8.82338,0.421854
0.7,0.2,-155.909,-8.84078,0.301121
0.8,0.2,-152.488,-8.82274,0.210312
0.9,0.2,-149.154,-8.77175,0.15479
1,0.2,-145.88,-8.69892,0.124568
1.1,0.2,-142.652,-8.61364,0.109474
1.2,0.2,-139.464,-8.52193,0.102496
1.3,0.2,-136.314,-8.42716,0.0995202
1.4,0.2,-133.2,-8.33105,0.0983727
1.5,0.2,-130.123,-8.23439,0.0979939
1.6,0.2,-127.081,-8.13755,0.0979057
1.7,0.2,-124.075,-8.04065,0.0979101
1.8,0.2,-121.105,-7.94375,0.0979337
1.9,0.2,-118.171,-7.84686,0.0979542
2,0.2,-115.273,-7.74997,0.0979676
2.1,0.2,-112.411,-7.65309,0.0979752
2.2,0.2,-109.585,-7.55622,0.0979791
2.3,0.2,-106.795,-7.45934,0.097981
2.4,0.2,-104.041,-7.36247,0.0979818
2.5,0.2,-101.323,-7.26559,0.0979821
2.6,0.2,-98.6408,-7.16872,0.0979822
2.7,0.2,-95.9948,-7.07184,0.0979822
2.8,0.2,-93.3848,-6.97497,0.0979822
2.9,0.2,-90.8108,-6.87809,0.0979822
3,0.2,-88.2728,-6.78122,0.0979822
3.1,0.2,-85.7708,-6.68434,0.0979822
3.2,0.2,-83.3048,-6.58747,0.0979822
3.3,0.2,-80.8748,-6.49059,0.0979822
3.4,0.2,-78.4808,-6.39372,0.0979822
3.5,0.2,-76.1228,-6.29684,0.0979822
3.6,0.2,-73.8008,-6.19997,0.0979822
3.7,0.2,-71.5148,-6.1031,0.0979822
3.8,0.2,-69.2648,-6.00622,0.0979822
3.9,0.2,-67.0508,-5.90935,0.0979822
4,0.2,-64.8728,-5.81247,0.0979822
4.1,0.2,-62.7308,-5.7156,0.0979822
4.2,0.2,-60.6248,-5.61872,0.0979822
4.3,0.2,-58.5548,-5.52185,0.0979822
4.4,0.2,-56.5208,-5.42497,0.0979822
4.5,0.2,-54.5228,-5.3281,0.0979822
4.6,0.2,-52.5608,-5.23122,0.0979822
4.7,0.2,-50.6348,-5.13435,0.0979822
4.8,0.2,-48.7448,-5.03748,0.0979822
4.9,0.2,-46.8908,-4.9406,0.0979822
5,0.2,-45.0728,-4.84373,0.0979822
5.1,0.2,-43.2908,-4.74685,0.0979822
5.2,0.2,-41.5448,-4.64998,0.0979822
5.3,0.2,-39.8348,-4.5531,0.0979822
5.4,0.2,-38.1608,-4.45623,0.0979822
5.5,0.2,-36.5228,-4.35935,0.0979822
5.6,0.2,-34.9208,-4.26248,0.0979822
5.7,0.2,-33.3548,-4.16561,0.0979822
5.8,0.2,-31.8248,-4.06873,0.0979822
5.9,0.2,-30.3308,-3.97186,0.0979822
6,0.2,-28.8728,-3.87498,0.0979822
6.1,0.2,-27.4508,-3.77811,0.0979822
6.2,0.2,-26.0648,-3.68123,0.0979822
6.3,0.2,-24.7148,-3.58436,0.0979822
6.4,0.2,-23.4008,-3.48748,0.0979822
6.5,0.2,-22.1228,-3.39061,0.0979822
6.6,0.2,-20.8808,-3.29373,0.0979822
6.7,0.2,-19.6748,-3.19686,0.0979822
6.8,0.2,-18.5048,-3.09999,0.0979822
6.9,0.2,-17.3708,-3.00311,0.0979822
7,0.2,-16.2728,-2.90624,0.0979822
7.1,0.2,-15.2108,-2.80936,0.0979822
7.2,0.2,-14.1848,-2.71249,0.0979822
7.3,0.2,-13.1948,-2.61561,0.0979822
7.4,0.2,-12.2408,-2.51874,0.0979822
7.5,0.2,-11.3228,-2.42186,0.0979822
7.6,0.2,-10.4408,-2.32499,0.0979822
7.7,0.2,-9.59484,-2.22811,0.0979822
7.8,0.2,-8.78484,-2.13124,0.0979822
7.9,0.2,-8.01084,-2.03437,0.0979823
8,0.2,-7.27284,-1.93749,0.0979823
8.1,0.2,-6.57084,-1.84062,0.0979824
8.2,0.2,-5.90484,-1.74374,0.0979826
8.3,0.2,-5.27484,-1.64687,0.097983
8.4,0.2,-4.68084,-1.54999,0.0979836
8.5,0.2,-4.12285,-1.45312,0.0979846
8.6,0.2,-3.60085,-1.35625,0.0979856
8.7,0.2,-3.11485,-1.25937,0.0979853
8.8,0.2,-2.66486,-1.1625,0.0979798
8.9,0.2,-2.25087,-1.06561,0.0979586
9,0.2,-1.87287,-0.968692,0.0978968
9.1,0.2,-1.53086,-0.871706,0.0977403
9.2,0.2,-1.22476,-0.774563,0.0973796
9.3,0.2,-0.954436,-0.677095,0.0966122
9.4,0.2,-0.719573,-0.579012,0.0951029
9.5,0.2,-0.51949,-0.479873,0.0923995
9.6,0.2,-0.352887,-0.379204,0.0881827
9.7,0.2,-0.21757,-0.276997,0.0832759
9.8,0.2,-0.110809,-0.17508,0.0828208
9.9,0.2,-0.0326073,-0.0792622,0.104852
10,0.2,0.00383426,0.00110018,0.199382
0,0.3,-107.389,2.57929,-32.225
0.1,0.3,-113.128,-8.98225,-18.1259
0.2,0.3,-115.641,-12.6324,-7.4564
0.3,0.3,-114.721,-12.9242,-2.07814
0.4,0.3,-112.231,-12.5505,-0.0810146
0.5,0.3,-109.411,-12.2185,0.4299
0.6,0.3,-106.701,-11.9889,0.435396
0.7,0.3,-104.175,-11.8192,0.325901
0.8,0.3,-101.798,-11.6768,0.225563
0.9,0.3,-99.5224,-11.5452,0.159001
1,0.3,-97.3132,-11.4175,0.120964
1.1,0.3,-95.1491,-11.2908,0.101268
1.2,0.3,-93.0189,-11.1643,0.0918607
1.3,0.3,-90.9167,-11.0378,0.0877083
1.4,0.3,-88.8402,-10.9111,0.086034
1.5,0.3,-86.7882,-10.7843,0.0854391
1.6,0.3,-84.7603,-10.6575,0.0852722
1.7,0.3,-82.7564,-10.5306,0.0852532
1.8,0.3,-80.7765,-10.4038,0.0852733
1.9,0.3,-78.8205,-10.2769,0.0852957
2,0.3,-76.8885,-10.15,0.0853116
2.1,0.3,-74.9806,-10.0231,0.0853211
2.2,0.3,-73.0966,-9.89626,0.0853261
2.3,0.3,-71.2366,-9.76939,0.0853286
2.4,0.3,-69.4006,-9.64251,0.0853297
2.5,0.3,-67.5886,-9.51564,0.0853302
2.6,0.3,-65.8006,-9.38876,0.0853304
2.7,0.3,-64.0366,-9.26189,0.0853304
2.8,0.3,-62.2966,-9.13501,0.0853304
2.9,0.3,-60.5806,-9.00814,0.0853304
