ux,uy,x,y
-0.00181812,-0.010388,2.05128,0.3
-0.00200113,-0.0128653,2.30769,0.3
-0.00217524,-0.0155529,2.5641,0.3
-0.00234085,-0.018437,2.82051,0.3
-0.0024983,-0.0215041,3.07692,0.3
-0.00264792,-0.0247412,3.33333,0.3
-0.00279004,-0.028136,3.58974,0.3
-0.00292494,-0.0316763,3.84615,0.3
-0.00305292,-0.0353506,4.10256,0.3
-0.00317424,-0.0391478,4.35897,0.3
-0.00328917,-0.0430574,4.61538,0.3
-0.00339796,-0.0470691,4.87179,0.3
-0.00350087,-0.0511732,5.12821,0.3
-0.00359815,-0.0553607,5.38462,0.3
-0.00369005,-0.0596227,5.64103,0.3
-0.00377681,-0.063951,5.89744,0.3
-0.00385869,-0.0683379,6.15385,0.3
-0.00393595,-0.0727759,6.41026,0.3
-0.00400883,-0.0772583,6.66667,0.3
-0.00407761,-0.0817787,6.92308,0.3
-0.00414254,-0.0863311,7.17949,0.3
-0.00420392,-0.0909102,7.4359,0.3
-0.00426201,-0.0955109,7.69231,0.3
-0.00431711,-0.100129,7.94872,0.3
-0.00436951,-0.10476,8.20513,0.3
-0.00441953,-0.109401,8.46154,0.3
-0.00446746,-0.114048,8.71795,0.3
-0.00451363,-0.118699,8.97436,0.3
-0.00455838,-0.123352,9.23077,0.3
-0.00460202,-0.128006,9.48718,0.3
-0.00464488,-0.132658,9.74359,0.3
-0.00468726,-0.137309,10,0.3
0,0,0,0.4
-0.000118736,-0.000171145,0.25641,0.4
-0.000250503,-0.000747272,0.512821,0.4
-0.000375452,-0.00164739,0.769231,0.4
-0.000493968,-0.00285028,1.02564,0.4
-0.00060737,-0.00433986,1.28205,0.4
-0.000716251,-0.0061001,1.53846,0.4
-0.000820977,-0.00811525,1.79487,0.4
-0.000921848,-0.01037,2.05128,0.4
-0.00101912,-0.0128494,2.30769,0.4
-0.00111303,-0.0155392,2.5641,0.4
-0.00120377,-0.0184254,2.82051,0.4
-0.00129151,-0.0214946,3.07692,0.4
-0.0013764,-0.0247338,3.33333,0.4
-0.00145856,-0.0281305,3.58974,0.4
-0.00153812,-0.0316726,3.84615,0.4
-0.00161517,-0.0353487,4.10256,0.4
-0.00168979,-0.0391477,4.35897,0.4
-0.00176208,-0.0430588,4.61538,0.4
-0.00183209,-0.0470721,4.87179,0.4
-0.0018999,-0.0511777,5.12821,0.4
-0.00196558,-0.0553665,5.38462,0.4
-0.00202919,-0.0596298,5.64103,0.4
-0.0020908,-0.0639593,5.89744,0.4
-0.00215046,-0.0683472,6.15385,0.4
-0.00220826,-0.0727863,6.41026,0.4
-0.00226427,-0.0772696,6.66667,0.4
-0.00231856,-0.0817907,6.92308,0.4
-0.00237122,-0.0863439,7.17949,0.4
-0.00242234,-0.0909237,7.4359,0.4
-0.00247202,-0.095525,7.69231,0.4
-0.00252036,-0.100143,7.94872,0.4
-0.00256747,-0.104775,8.20513,0.4
-0.00261348,-0.109416,8.46154,0.4
-0.00265852,-0.114064,8.71795,0.4
-0.00270271,-0.118715,8.97436,0.4
-0.00274621,-0.123369,9.23077,0.4
-0.00278917,-0.128022,9.48718,0.4
-0.00283172,-0.132674,9.74359,0.4
-0.00287401,-0.137325,10,0.4
0,0,0,0.5
4.91E-07,-0.000161756,0.25641,0.5
6.94E-07,-0.00073705,0.512821,0.5
-4.85E-08,-0.00163833,0.769231,0.5
-2.11E-06,-0.00284233,1.02564,0.5
-5.74E-06,-0.00433303,1.28205,0.5
-1.11E-05,-0.00609444,1.53846,0.5
-1.85E-05,-0.00811079,1.79487,0.5
-2.78E-05,-0.0103667,2.05128,0.5
-3.93E-05,-0.0128474,2.30769,0.5
-5.29E-05,-0.0155385,2.5641,0.5
-6.87E-05,-0.0184259,2.82051,0.5
-8.67E-05,-0.0214963,3.07692,0.5
-0.000106775,-0.0247367,3.33333,0.5
-0.000128917,-0.0281346,3.58974,0.5
-0.000153054,-0.0316779,3.84615,0.5
-0.000179098,-0.035355,4.10256,0.5
-0.000206955,-0.039155,4.35897,0.5
-0.000236519,-0.0430671,4.61538,0.5
-0.000267679,-0.0470812,4.87179,0.5
-0.00030032,-0.0511877,5.12821,0.5
-0.000334323,-0.0553773,5.38462,0.5
-0.000369569,-0.0596414,5.64103,0.5
-0.000405938,-0.0639715,5.89744,0.5
-0.000443315,-0.0683601,6.15385,0.5
-0.000481585,-0.0727997,6.41026,0.5
-0.000520637,-0.0772835,6.66667,0.5
-0.000560366,-0.0818051,6.92308,0.5
-0.000600674,-0.0863587,7.17949,0.5
-0.000641466,-0.0909387,7.4359,0.5
-0.000682655,-0.0955404,7.69231,0.5
-0.000724163,-0.100159,7.94872,0.5
-0.000765918,-0.104791,8.20513,0.5
-0.000807857,-0.109432,8.46154,0.5
-0.000849924,-0.11408,8.71795,0.5
-0.000892071,-0.118732,8.97436,0.5
-0.000934262,-0.123385,9.23077,0.5
-0.000976464,-0.128038,9.48718,0.5
-0.00101866,-0.132691,9.74359,0.5
-0.00106083,-0.137341,10,0.5
0,0,0,0.6
0.000119712,-0.000171891,0.25641,0.6
0.000251849,-0.000748641,0.512821,0.6
0.000375279,-0.0016495,0.769231,0.6
0.000489655,-0.00285333,1.02564,0.6
0.000595778,-0.00434405,1.28205,0.6
0.000693842,-0.00610559,1.53846,0.6
0.000783908,-0.00812214,1.79487,0.6
0.000866048,-0.0103784,2.05128,0.6
0.000940368,-0.0128594,2.30769,0.6
0.00100701,-0.0155508,2.5641,0.6
0.00106615,-0.0184386,2.82051,0.6
0.00111797,-0.0215094,3.07692,0.6
0.00116271,-0.0247501,3.33333,0.6
0.00120059,-0.0281484,3.58974,0.6
0.00123188,-0.031692,3.84615,0.6
0.00125685,-0.0353695,4.10256,0.6
0.00127577,-0.0391698,4.35897,0.6
0.00128893,-0.0430822,4.61538,0.6
0.00129663,-0.0470967,4.87179,0.6
0.00129917,-0.0512034,5.12821,0.6
0.00129685,-0.0553932,5.38462,0.6
0.00128998,-0.0596574,5.64103,0.6
0.00127885,-0.0639878,5.89744,0.6
0.00126377,-0.0683764,6.15385,0.6
0.00124504,-0.0728161,6.41026,0.6
0.00122295,-0.0773,6.66667,0.6
0.00119778,-0.0818217,6.92308,0.6
0.00116983,-0.0863753,7.17949,0.6
0.00113938,-0.0909554,7.4359,0.6
0.00110668,-0.0955571,7.69231,0.6
0.00107201,-0.100176,7.94872,0.6
0.00103562,-0.104808,8.20513,0.6
0.000997756,-0.109449,8.46154,0.6
0.000958661,-0.114097,8.71795,0.6
0.000918564,-0.118748,8.97436,0.6
0.000877687,-0.123401,9.23077,0.6
0.00083624,-0.128055,9.48718,0.6
0.000794402,-0.132707,9.74359,0.6
0.000752348,-0.137358,10,0.6
0,0,0,0.7
0.000242695,-0.000202467,0.25641,0.7
0.000506494,-0.000781851,0.512821,0.7
0.000753196,-0.0016808,0.769231,0.7
0.000983722,-0.00288324,1.02564,0.7
0.00119949,-0.0043729,1.28205,0.7
0.00140094,-0.00613354,1.53846,0.7
0.00158832,-0.00814931,1.79487,0.7
0.00176189,-0.0104048,2.05128,0.7
0.00192194,-0.0128852,2.30769,0.7
0.00206879,-0.015576,2.5641,0.7
0.00220279,-0.0184633,2.82051,0.7
0.00232433,-0.0215337,3.07692,0.7
0.00243382,-0.024774,3.33333,0.7
0.00253167,-0.0281718,3.58974,0.7
0.00261832,-0.0317151,3.84615,0.7
0.00269424,-0.0353922,4.10256,0.7
0.00275987,-0.0391922,4.35897,0.7
0.0028157,-0.0431042,4.61538,0.7
0.0028622,-0.0471183,4.87179,0.7
0.00289986,-0.0512247,5.12821,0.7
0.00292917,-0.0554142,5.38462,0.7
0.0029506,-0.059678,5.64103,0.7
0.00296466,-0.064008,5.89744,0.7
0.00297182,-0.0683963,6.15385,0.7
0.00297256,-0.0728357,6.41026,0.7
0.00296737,-0.0773193,6.66667,0.7
0.00295671,-0.0818406,6.92308,0.7
0.00294106,-0.0863939,7.17949,0.7
0.00292087,-0.0909737,7.4359,0.7
0.0028966,-0.0955751,7.69231,0.7
0.00286871,-0.100193,7.94872,0.7
0.00283762,-0.104825,8.20513,0.7
0.00280376,-0.109466,8.46154,0.7
0.00276758,-0.114114,8.71795,0.7
0.00272946,-0.118765,8.97436,0.7
0.00268984,-0.123418,9.23077,0.7
0.00264908,-0.128071,9.48718,0.7
0.00260756,-0.132724,9.74359,0.7
0.0025656,-0.137374,10,0.7
0,0,0,0.8
0.00037452,-0.000256149,0.25641,0.8
0.000767622,-0.000836151,0.512821,0.8
0.00113619,-0.001732,0.769231,0.8
0.00148247,-0.00293198,1.02564,0.8
0.0018077,-0.00441954,1.28205,0.8
0.00211239,-0.00617826,1.53846,0.8
0.00239695,-0.00819225,1.79487,0.8
0.00266181,-0.0104461,2.05128,0.8
