sxx,sxy,syy,x,y
-36.285,-5.48177,-11.1781,0,0
-26.0983,0.539523,-0.0712084,0.25641,0
-26.6972,0.108645,0.0421105,0.512821,0
-25.5167,0.093294,0.00913193,0.769231,0
-24.1384,0.113735,0.00195269,1.02564,0
-22.776,0.132063,0.000933488,1.28205,0
-21.4526,0.146163,0.000518689,1.53846,0
-20.1691,0.156575,0.00018147,1.79487,0
-18.9254,0.163749,-0.000118253,2.05128,0
-17.7212,0.168057,-0.00038256,2.30769,0
-16.5567,0.169838,-0.000609666,2.5641,0
-15.4318,0.169405,-0.00079806,2.82051,0
-14.3465,0.167055,-0.00094732,3.07692,0
-13.3007,0.163061,-0.00105812,3.33333,0
-12.2946,0.157677,-0.00113204,3.58974,0
-11.328,0.151138,-0.00117139,3.84615,0
-10.401,0.143663,-0.00117899,4.10256,0
-9.51348,0.13545,-0.00115803,4.35897,0
-8.66554,0.126684,-0.00111198,4.61538,0
-7.85713,0.117529,-0.00104438,4.87179,0
-7.08823,0.10814,-0.000958852,5.12821,0
-6.35885,0.0986514,-0.000858923,5.38462,0
-5.66896,0.0891883,-0.000748028,5.64103,0
-5.01857,0.0798604,-0.000629425,5.89744,0
-4.40765,0.0707656,-0.000506166,6.15385,0
-3.83622,0.0619904,-0.000381067,6.41026,0
-3.30425,0.0536101,-0.000256685,6.66667,0
-2.81174,0.0456901,-0.000135312,6.92308,0
-2.35869,0.038286,-1.90E-05,7.17949,0
-1.94509,0.0314452,9.06E-05,7.4359,0
-1.57093,0.0252067,0.000191871,7.69231,0
-1.23622,0.0196024,0.000283631,7.94872,0
-0.940944,0.0146578,0.000364854,8.20513,0
-0.685105,0.0103924,0.000434736,8.46154,0
-0.468698,0.00682037,0.000492822,8.71795,0
-0.291714,0.0039499,0.000540406,8.97436,0
-0.154175,0.00178188,0.000588644,9.23077,0
-0.0565329,0.000349589,0.000678405,9.48718,0
-0.00244422,0.000260149,0.000381513,9.74359,0
0.00442301,0.00165561,0.000389803,10,0
-23.2978,-3.1792,-8.91338,0,0.1
-23.0476,-0.0847784,0.635856,0.25641,0.1
-21.5375,-0.338453,0.152664,0.512821,0.1
-20.4318,-0.415351,0.0198249,0.769231,0.1
-19.3214,-0.400471,0.00560746,1.02564,0.1
-18.2336,-0.373262,0.00567079,1.28205,0.1
-17.1765,-0.347766,0.00703546,1.53846,0.1
-16.1509,-0.325192,0.00831156,1.79487,0.1
-15.1569,-0.305249,0.00941952,2.05128,0.1
-14.1945,-0.287615,0.0103788,2.30769,0.1
-13.2636,-0.272013,0.0112058,2.5641,0.1
-12.3643,-0.258188,0.0119133,2.82051,0.1
-11.4966,-0.245906,0.0125119,3.07692,0.1
-10.6605,-0.234949,0.0130109,3.33333,0.1
-9.85587,-0.225111,0.0134188,3.58974,0.1
-9.08286,-0.216205,0.0137427,3.84615,0.1
-8.34141,-0.208058,0.0139893,4.10256,0.1
-7.63153,-0.200509,0.0141646,4.35897,0.1
-6.95321,-0.193411,0.0142737,4.61538,0.1
-6.30646,-0.18663,0.0143217,4.87179,0.1
-5.69126,-0.180045,0.014313,5.12821,0.1
-5.10762,-0.173547,0.0142518,5.38462,0.1
-4.55554,-0.167034,0.0141419,5.64103,0.1
-4.035,-0.16042,0.013987,5.89744,0.1
-3.54602,-0.153626,0.0137906,6.15385,0.1
-3.08859,-0.146581,0.0135561,6.41026,0.1
-2.6627,-0.139225,0.0132864,6.66667,0.1
-2.26837,-0.131505,0.0129847,6.92308,0.1
-1.90557,-0.123377,0.0126537,7.17949,0.1
