sxx,sxy,syy,x,y
-0.189901,0.00342935,-5.36E-05,9.15966,0
-0.149849,0.00270402,-4.04E-05,9.2437,0
-0.114076,0.00205619,-2.85E-05,9.32773,0
-0.0826337,0.00148687,-1.80E-05,9.41176,0
-0.0556163,0.000997894,-8.74E-06,9.4958,0
-0.0331964,0.000592692,-8.19E-07,9.57983,0
-0.0156651,0.000277338,5.59E-06,9.66387,0
-0.0034775,6.21E-05,9.89E-06,9.7479,0
0.00276154,-3.66E-05,1.13E-05,9.83193,0
0.00266689,1.78E-05,-2.50E-07,9.91597,0
6.35E-05,-1.72E-05,-3.73E-06,10,0
-41.39,-9.76799,-15.3028,0,0.010101
-27.6625,0.60763,0.743057,0.0840336,0.010101
-27.0296,0.189949,0.244139,0.168067,0.010101
-26.9462,0.069107,0.0355079,0.252101,0.010101
-26.8305,0.0427181,0.00516441,0.336134,0.010101
-26.6084,0.0338206,0.00100472,0.420168,0.010101
-26.2956,0.0320395,0.000255508,0.504202,0.010101
-25.9209,0.0345552,6.60E-05,0.588235,0.010101
-25.5088,0.03963,1.55E-05,0.672269,0.010101
-25.0765,0.0460662,7.91E-06,0.756303,0.010101
-24.6346,0.0530831,1.13E-05,0.840336,0.010101
-24.1897,0.0602045,1.40E-05,0.92437,0.010101
-23.7454,0.0671578,1.24E-05,1.0084,0.010101
-23.3036,0.0737984,5.70E-06,1.09244,0.010101
-22.8653,0.0800568,-5.52E-06,1.17647,0.010101
-22.4308,0.0859054,-2.05E-05,1.2605,0.010101
-22.0005,0.0913389,-3.83E-05,1.34454,0.010101
-21.5744,0.0963633,-5.84E-05,1.42857,0.010101
-21.1525,0.100989,-8.01E-05,1.51261,0.010101
-20.7348,0.10523,-0.000102931,1.59664,0.010101
-20.3213,0.1091,-0.000126452,1.68067,0.010101
-19.9119,0.112611,-0.000150303,1.76471,0.010101
-19.5068,0.115777,-0.000174158,1.84874,0.010101
-19.1058,0.118612,-0.000197726,1.93277,0.010101
-18.7089,0.121128,-0.000220747,2.01681,0.010101
-18.3163,0.123338,-0.000242986,2.10084,0.010101
-17.9278,0.125253,-0.000264234,2.18487,0.010101
-17.5435,0.126885,-0.000284303,2.26891,0.010101
-17.1634,0.128245,-0.000303029,2.35294,0.010101
-16.7874,0.129346,-0.000320266,2.43697,0.010101
-16.4156,0.130198,-0.000335888,2.52101,0.010101
-16.0479,0.130812,-0.000349786,2.60504,0.010101
-15.6845,0.131198,-0.000361871,2.68908,0.010101
-15.3252,0.131366,-0.000372065,2.77311,0.010101
-14.97,0.131327,-0.00038031,2.85714,0.010101
-14.6191,0.131091,-0.000386559,2.94118,0.010101
-14.2723,0.130666,-0.000390778,3.02521,0.010101
-13.9296,0.130063,-0.000392948,3.10924,0.010101
-13.5912,0.12929,-0.000393058,3.19328,0.010101
-13.2569,0.128357,-0.00039111,3.27731,0.010101
-12.9267,0.127272,-0.000387115,3.36134,0.010101
-12.6007,0.126043,-0.000381092,3.44538,0.010101
-12.2789,0.124679,-0.00037307,3.52941,0.010101
-11.9613,0.123188,-0.000363086,3.61345,0.010101
-11.6478,0.121578,-0.000351182,3.69748,0.010101
-11.3385,0.119857,-0.000337408,3.78151,0.010101
-11.0333,0.118031,-0.000321818,3.86555,0.010101
-10.7323,0.116108,-0.000304474,3.94958,0.010101
