ux,uy,x,y
0,0,0,0
-0.000254691,-0.000182708,0.0840336,0
-0.000466611,-0.000297359,0.168067,0
-0.000675916,-0.000424062,0.252101,0
-0.000885167,-0.000577486,0.336134,0
-0.00109348,-0.000762609,0.420168,0
-0.00129992,-0.000981185,0.504202,0
-0.00150383,-0.00123364,0.588235,0
-0.0017048,-0.00151979,0.672269,0
-0.00190261,-0.00183922,0.756303,0
-0.00209715,-0.00219137,0.840336,0
-0.00228838,-0.00257566,0.92437,0
-0.00247629,-0.00299149,1.0084,0
-0.0026609,-0.00343829,1.09244,0
-0.00284226,-0.00391545,1.17647,0
-0.00302039,-0.00442241,1.2605,0
-0.00319533,-0.0049586,1.34454,0
-0.00336713,-0.00552345,1.42857,0
-0.00353581,-0.00611641,1.51261,0
-0.00370143,-0.00673693,1.59664,0
-0.003864,-0.00738446,1.68067,0
-0.00402359,-0.00805846,1.76471,0
-0.00418021,-0.00875841,1.84874,0
-0.0043339,-0.00948377,1.93277,0
-0.00448471,-0.010234,2.01681,0
-0.00463266,-0.0110086,2.10084,0
-0.00477779,-0.0118071,2.18487,0
-0.00492014,-0.0126289,2.26891,0
-0.00505974,-0.0134736,2.35294,0
-0.00519661,-0.0143407,2.43697,0
-0.0053308,-0.0152296,2.52101,0
-0.00546234,-0.0161398,2.60504,0
-0.00559126,-0.017071,2.68908,0
-0.00571758,-0.0180226,2.77311,0
-0.00584136,-0.0189942,2.85714,0
-0.00596261,-0.0199852,2.94118,0
-0.00608136,-0.0209953,3.02521,0
-0.00619766,-0.022024,3.10924,0
-0.00631152,-0.0230708,3.19328,0
-0.00642298,-0.0241353,3.27731,0
-0.00653208,-0.025217,3.36134,0
-0.00663883,-0.0263155,3.44538,0
-0.00674327,-0.0274305,3.52941,0
-0.00684544,-0.0285614,3.61345,0
-0.00694535,-0.0297079,3.69748,0
-0.00704305,-0.0308695,3.78151,0
-0.00713855,-0.0320459,3.86555,0
-0.00723189,-0.0332366,3.94958,0
-0.0073231,-0.0344412,4.03361,0
-0.00741221,-0.0356594,4.11765,0
-0.00749924,-0.0368908,4.20168,0
-0.00758423,-0.038135,4.28571,0
-0.0076672,-0.0393916,4.36975,0
-0.00774818,-0.0406603,4.45378,0
-0.0078272,-0.0419407,4.53782,0
-0.00790429,-0.0432324,4.62185,0
-0.00797948,-0.0445351,4.70588,0
-0.0080528,-0.0458484,4.78992,0
-0.00812427,-0.0471721,4.87395,0
-0.00819392,-0.0485057,4.95798,0
-0.00826178,-0.049849,5.04202,0
