x,y,ux,uy
3.8,0.1,-0.0056707,-0.0310932
3.9,0.1,-0.0057631,-0.0325
4,0.1,-0.00585311,-0.0339269
4.1,0.1,-0.00594079,-0.0353731
4.2,0.1,-0.00602617,-0.0368381
4.3,0.1,-0.00610928,-0.0383212
4.4,0.1,-0.00619017,-0.0398218
4.5,0.1,-0.00626886,-0.0413393
4.6,0.1,-0.00634541,-0.042873
4.7,0.1,-0.00641984,-0.0444223
4.8,0.1,-0.00649219,-0.0459868
4.9,0.1,-0.00656251,-0.0475657
5,0.1,-0.00663081,-0.0491587
5.1,0.1,-0.00669715,-0.050765
5.2,0.1,-0.00676156,-0.0523841
5.3,0.1,-0.00682408,-0.0540156
5.4,0.1,-0.00688474,-0.0556589
5.5,0.1,-0.00694358,-0.0573135
5.6,0.1,-0.00700063,-0.0589789
5.7,0.1,-0.00705594,-0.0606546
5.8,0.1,-0.00710953,-0.0623402
5.9,0.1,-0.00716145,-0.0640351
6,0.1,-0.00721174,-0.0657389
6.1,0.1,-0.00726042,-0.0674513
6.2,0.1,-0.00730754,-0.0691717
6.3,0.1,-0.00735314,-0.0708997
6.4,0.1,-0.00739724,-0.0726349
6.5,0.1,-0.00743989,-0.074377
6.6,0.1,-0.00748113,-0.0761255
6.7,0.1,-0.00752099,-0.07788
6.8,0.1,-0.00755952,-0.0796403
6.9,0.1,-0.00759674,-0.0814059
7,0.1,-0.00763269,-0.0831764
7.1,0.1,-0.00766742,-0.0849516
7.2,0.1,-0.00770096,-0.0867312
7.3,0.1,-0.00773336,-0.0885148
7.4,0.1,-0.00776464,-0.0903021
7.5,0.1,-0.00779485,-0.0920928
7.6,0.1,-0.00782402,-0.0938867
7.7,0.1,-0.0078522,-0.0956835
7.8,0.1,-0.00787943,-0.0974829
7.9,0.1,-0.00790574,-0.0992847
8,0.1,-0.00793117,-0.101089
8.1,0.1,-0.00795576,-0.102894
8.2,0.1,-0.00797956,-0.104702
8.3,0.1,-0.0080026,-0.106511
8.4,0.1,-0.00802492,-0.108321
8.5,0.1,-0.00804657,-0.110133
8.6,0.1,-0.00806758,-0.111945
8.7,0.1,-0.00808799,-0.113759
8.8,0.1,-0.00810785,-0.115573
8.9,0.1,-0.0081272,-0.117387
9,0.1,-0.00814607,-0.119202
9.1,0.1,-0.00816452,-0.121017
9.2,0.1,-0.00818258,-0.122832
9.3,0.1,-0.00820029,-0.124648
9.4,0.1,-0.00821769,-0.126463
9.5,0.1,-0.00823484,-0.128278
9.6,0.1,-0.00825177,-0.130093
9.7,0.1,-0.00826852,-0.131908
9.8,0.1,-0.00828515,-0.133723
9.9,0.1,-0.00830169,-0.135538
10,0.1,-0.00831819,-0.137352
0,0.2,0,0
0.1,0.2,-0.000133515,-5.34E-05
0.2,0.2,-0.000286548,-0.000169838
0.3,0.2,-0.000443797,-0.000333033
0.4,0.2,-0.000598643,-0.000542865
0.5,0.2,-0.000749754,-0.000800634
0.6,0.2,-0.000897217,-0.0011066
0.7,0.2,-0.00104133,-0.00146026
0.8,0.2,-0.00118233,-0.00186079
0.9,0.2,-0.0013204,-0.00230721
1,0.2,-0.00145565,-0.00279853
1.1,0.2,-0.00158815,-0.00333376
