x,y,sxx,sxy,syx,syy
0.6,0.1,-21.168,-0.391886,-0.391886,0.0196164
0.7,0.1,-20.7349,-0.406006,-0.406006,0.0110898
0.8,0.1,-20.3004,-0.408005,-0.408005,0.00634246
0.9,0.1,-19.8663,-0.402912,-0.402912,0.00414775
1,0.1,-19.4343,-0.394248,-0.394248,0.00342944
1.1,0.1,-19.0057,-0.38409,-0.38409,0.00347683
1.2,0.1,-18.5813,-0.373531,-0.373531,0.00388121
1.3,0.1,-18.1613,-0.363096,-0.363096,0.00442908
1.4,0.1,-17.7461,-0.353011,-0.353011,0.00501788
1.5,0.1,-17.3357,-0.343355,-0.343355,0.00560254
1.6,0.1,-16.9301,-0.334144,-0.334144,0.00616547
1.7,0.1,-16.5293,-0.325369,-0.325369,0.00670118
1.8,0.1,-16.1332,-0.317013,-0.317013,0.00720904
1.9,0.1,-15.742,-0.309054,-0.309054,0.00769004
2,0.1,-15.3556,-0.301473,-0.301473,0.00814555
2.1,0.1,-14.974,-0.294253,-0.294253,0.0085769
2.2,0.1,-14.5972,-0.287375,-0.287375,0.00898525
2.3,0.1,-14.2252,-0.280822,-0.280822,0.00937162
2.4,0.1,-13.858,-0.27458,-0.27458,0.00973692
2.5,0.1,-13.4956,-0.268633,-0.268633,0.010082
2.6,0.1,-13.1381,-0.262965,-0.262965,0.0104076
2.7,0.1,-12.7853,-0.257562,-0.257562,0.0107143
2.8,0.1,-12.4373,-0.25241,-0.25241,0.011003
2.9,0.1,-12.0941,-0.247496,-0.247496,0.0112743
3,0.1,-11.7557,-0.242805,-0.242805,0.0115286
3.1,0.1,-11.4222,-0.238326,-0.238326,0.0117667
3.2,0.1,-11.0934,-0.234044,-0.234044,0.0119891
3.3,0.1,-10.7694,-0.229949,-0.229949,0.0121962
3.4,0.1,-10.4502,-0.226029,-0.226029,0.0123886
3.5,0.1,-10.1359,-0.22227,-0.22227,0.0125668
3.6,0.1,-9.82632,-0.218663,-0.218663,0.0127312
3.7,0.1,-9.52157,-0.215197,-0.215197,0.0128823
3.8,0.1,-9.22161,-0.211861,-0.211861,0.0130205
3.9,0.1,-8.92646,-0.208644,-0.208644,0.0131461
4,0.1,-8.63611,-0.205538,-0.205538,0.0132597
4.1,0.1,-8.35056,-0.202532,-0.202532,0.0133614
4.2,0.1,-8.06982,-0.199617,-0.199617,0.0134518
4.3,0.1,-7.79387,-0.196784,-0.196784,0.0135312
4.4,0.1,-7.52273,-0.194024,-0.194024,0.0135998
4.5,0.1,-7.25639,-0.19133,-0.19133,0.013658
4.6,0.1,-6.99485,-0.188693,-0.188693,0.0137061
4.7,0.1,-6.73811,-0.186105,-0.186105,0.0137444
4.8,0.1,-6.48618,-0.183559,-0.183559,0.0137732
4.9,0.1,-6.23904,-0.181048,-0.181048,0.0137928
5,0.1,-5.99671,-0.178564,-0.178564,0.0138035
5.1,0.1,-5.75917,-0.176102,-0.176102,0.0138055
5.2,0.1,-5.52644,-0.173654,-0.173654,0.013799
5.3,0.1,-5.2985,-0.171215,-0.171215,0.0137844
5.4,0.1,-5.07537,-0.168779,-0.168779,0.0137619
5.5,0.1,-4.85704,-0.16634,-0.16634,0.0137316
5.6,0.1,-4.64351,-0.163892,-0.163892,0.013694
5.7,0.1,-4.43477,-0.161431,-0.161431,0.0136491
5.8,0.1,-4.23084,-0.158951,-0.158951,0.0135972
5.9,0.1,-4.0317,-0.156448,-0.156448,0.0135385
6,0.1,-3.83737,-0.153917,-0.153917,0.0134732
6.1,0.1,-3.64783,-0.151355,-0.151355,0.0134017
6.2,0.1,-3.4631,-0.148756,-0.148756,0.0133239
6.3,0.1,-3.28316,-0.146118,-0.146118,0.0132402
6.4,0.1,-3.10802,-0.143436,-0.143436,0.0131508
6.5,0.1,-2.93768,-0.140707,-0.140707,0.0130558
6.6,0.1,-2.77214,-0.137927,-0.137927,0.0129555
6.7,0.1,-2.61139,-0.135094,-0.135094,0.01285
6.8,0.1,-2.45545,-0.132205,-0.132205,0.0127395
6.9,0.1,-2.3043,-0.129257,-0.129257,0.0126242
7,0.1,-2.15796,-0.126247,-0.126247,0.0125043
7.1,0.1,-2.01641,-0.123174,-0.123174,0.0123799
7.2,0.1,-1.87965,-0.120033,-0.120033,0.0122512
7.3,0.1,-1.7477,-0.116825,-0.116825,0.0121184
7.4,0.1,-1.62055,-0.113546,-0.113546,0.0119817
7.5,0.1,-1.49819,-0.110194,-0.110194,0.0118411
7.6,0.1,-1.38063,-0.106769,-0.106769,0.0116969
7.7,0.1,-1.26787,-0.103269,-0.103269,0.0115492
7.8,0.1,-1.1599,-0.0996912,-0.0996912,0.0113982
7.9,0.1,-1.05674,-0.0960355,-0.0960355,0.0112439
8,0.1,-0.958369,-0.0923004,-0.0923004,0.0110866
8.1,0.1,-0.864799,-0.0884849,-0.0884849,0.0109263
8.2,0.1,-0.776026,-0.0845879,-0.0845879,0.0107632
8.3,0.1,-0.69205,-0.0806087,-0.0806087,0.0105975
8.4,0.1,-0.612873,-0.0765464,-0.0765464,0.0104291
8.5,0.1,-0.538493,-0.0724003,-0.0724003,0.0102584
8.6,0.1,-0.46891,-0.0681699,-0.0681699,0.0100853
8.7,0.1,-0.404125,-0.0638546,-0.0638546,0.00990989
8.8,0.1,-0.344138,-0.0594539,-0.0594539,0.00973225
8.9,0.1,-0.288949,-0.0549667,-0.0549667,0.0095521
9,0.1,-0.23856,-0.0503911,-0.0503911,0.00936871
9.1,0.1,-0.192973,-0.0457227,-0.0457227,0.00918024
9.2,0.1,-0.152195,-0.0409523,-0.0409523,0.00898269
9.3,0.1,-0.116237,-0.03606,-0.03606,0.00876801
9.4,0.1,-0.0851238,-0.0310081,-0.0310081,0.00852152
9.5,0.1,-0.0588895,-0.0257296,-0.0257296,0.00821968
9.6,0.1,-0.0375779,-0.0201228,-0.0201228,0.0078333
9.7,0.1,-0.0212042,-0.0140805,-0.0140805,0.00735636
9.8,0.1,-0.0096428,-0.0076596,-0.0076596,0.00694415
9.9,0.1,-0.0024946,-0.00169058,-0.00169058,0.0075258
10,0.1,0.000230422,0.000960207,0.000960207,0.0125644
0,0.2,-15.9896,-0.460506,-0.460506,-6.81112
0.1,0.2,-17.4514,-1.60581,-1.60581,-3.05909
0.2,0.2,-17.6929,-1.24788,-1.24788,-0.87108
0.3,0.2,-17.2824,-0.934469,-0.934469,-0.136851
0.4,0.2,-16.7918,-0.829699,-0.829699,0.0450868
0.5,0.2,-16.3488,-0.813747,-0.813747,0.0643297
0.6,0.2,-15.954,-0.818358,-0.818358,0.0464719
0.7,0.2,-15.5905,-0.820958,-0.820958,0.0273403
0.8,0.2,-15.2453,-0.817404,-0.817404,0.0145429
0.9,0.2,-14.9109,-0.808929,-0.808929,0.00764537
1,0.2,-14.5835,-0.797526,-0.797526,0.0046624
1.1,0.2,-14.2611,-0.784703,-0.784703,0.00389937
1.2,0.2,-13.9429,-0.771373,-0.771373,0.00425967
1.3,0.2,-13.6283,-0.758019,-0.758019,0.00512525
1.4,0.2,-13.3175,-0.74487,-0.74487,0.00618014
1.5,0.2,-13.0102,-0.73202,-0.73202,0.00727628
1.6,0.2,-12.7064,-0.719496,-0.719496,0.00835067
1.7,0.2,-12.4063,-0.707298,-0.707298,0.00938005
1.8,0.2,-12.1097,-0.695416,-0.695416,0.0103581
1.9,0.2,-11.8167,-0.683834,-0.683834,0.011285
2,0.2,-11.5273,-0.672537,-0.672537,0.0121627
2.1,0.2,-11.2414,-0.661511,-0.661511,0.0129937
2.2,0.2,-10.9592,-0.650743,-0.650743,0.01378
2.3,0.2,-10.6805,-0.640221,-0.640221,0.0145235
2.4,0.2,-10.4054,-0.629932,-0.629932,0.0152258
2.5,0.2,-10.1339,-0.619864,-0.619864,0.0158882
2.6,0.2,-9.86595,-0.610007,-0.610007,0.0165121
2.7,0.2,-9.60161,-0.60035,-0.60035,0.0170987
2.8,0.2,-9.34086,-0.590881,-0.590881,0.017649
2.9,0.2,-9.08369,-0.581592,-0.581592,0.0181642
3,0.2,-8.83011,-0.572471,-0.572471,0.0186454
3.1,0.2,-8.58011,-0.563509,-0.563509,0.0190935
3.2,0.2,-8.3337,-0.554696,-0.554696,0.0195097
3.3,0.2,-8.09088,-0.546024,-0.546024,0.0198948
3.4,0.2,-7.85165,-0.537484,-0.537484,0.0202498
3.5,0.2,-7.61601,-0.529066,-0.529066,0.0205756
3.6,0.2,-7.38396,-0.520763,-0.520763,0.0208732
3.7,0.2,-7.15549,-0.512566,-0.512566,0.0211434
3.8,0.2,-6.93062,-0.504468,-0.504468,0.0213871
3.9,0.2,-6.70934,-0.49646,-0.49646,0.0216051
4,0.2,-6.49164,-0.488535,-0.488535,0.0217983
4.1,0.2,-6.27754,-0.480687,-0.480687,0.0219673
4.2,0.2,-6.06703,-0.472908,-0.472908,0.0221131
4.3,0.2,-5.8601,-0.465191,-0.465191,0.0222363
4.4,0.2,-5.65677,-0.45753,-0.45753,0.0223377
4.5,0.2,-5.45703,-0.449919,-0.449919,0.0224181
4.6,0.2,-5.26089,-0.442351,-0.442351,0.0224781
4.7,0.2,-5.06833,-0.434822,-0.434822,0.0225183
4.8,0.2,-4.87937,-0.427324,-0.427324,0.0225396
4.9,0.2,-4.694,-0.419853,-0.419853,0.0225425
5,0.2,-4.51222,-0.412404,-0.412404,0.0225277
5.1,0.2,-4.33404,-0.404972,-0.404972,0.0224959
5.2,0.2,-4.15944,-0.397551,-0.397551,0.0224476
5.3,0.2,-3.98845,-0.390137,-0.390137,0.0223834
5.4,0.2,-3.82104,-0.382727,-0.382727,0.0223039
5.5,0.2,-3.65723,-0.375314,-0.375314,0.0222098
5.6,0.2,-3.49701,-0.367896,-0.367896,0.0221015
5.7,0.2,-3.34039,-0.360469,-0.360469,0.0219796
5.8,0.2,-3.18736,-0.353028,-0.353028,0.0218447
