x,y,sxx,sxy,syy
8.82353,0,-3.94897,-0.000246473,7.90E-05
8.90756,0,-3.37696,-0.000228983,7.91E-05
8.9916,0,-2.84731,-0.000211596,7.91E-05
9.07563,0,-2.36006,-0.000194391,7.93E-05
9.15966,0,-1.91525,-0.000177483,7.96E-05
9.2437,0,-1.513,-0.000161018,8.02E-05
9.32773,0,-1.15357,-0.000145128,8.14E-05
9.41176,0,-0.837454,-0.000129769,8.36E-05
9.4958,0,-0.565618,-0.000114254,8.72E-05
9.57983,0,-0.339782,-9.61E-05,9.29E-05
9.66387,0,-0.162863,-6.81E-05,0.000100226
9.7479,0,-0.0394165,-1.16E-05,0.000106165
9.83193,0,0.0245065,0.000125255,0.000101269
9.91597,0,0.0251176,0.000624429,9.21E-06
10,0,0.000746336,-0.000167237,-3.29E-05
0,0.010101,-383.349,-73.3052,-98.6937
0.0840336,0.010101,-282.161,2.84369,5.45556
0.168067,0.010101,-275.608,0.667973,1.60117
0.252101,0.010101,-272.884,-0.0814623,0.235279
0.336134,0.010101,-270.287,-0.284063,0.044153
0.420168,0.010101,-267.155,-0.396469,0.0182655
0.504202,0.010101,-263.496,-0.468703,0.0131404
0.588235,0.010101,-259.459,-0.512427,0.0114099
0.672269,0.010101,-255.19,-0.536494,0.0106465
0.756303,0.010101,-250.798,-0.547948,0.0102904
0.840336,0.010101,-246.352,-0.551788,0.0101284
0.92437,0.010101,-241.896,-0.551273,0.0100594
1.0084,0.010101,-237.456,-0.548387,0.0100335
1.09244,0.010101,-233.043,-0.544273,0.0100261
1.17647,0.010101,-228.667,-0.539559,0.0100259
1.2605,0.010101,-224.329,-0.534569,0.0100276
1.34454,0.010101,-220.032,-0.529464,0.0100296
1.42857,0.010101,-215.777,-0.524317,0.0100311
1.51261,0.010101,-211.563,-0.519161,0.0100321
1.59664,0.010101,-207.391,-0.514006,0.0100327
1.68067,0.010101,-203.26,-0.508855,0.0100331
1.76471,0.010101,-199.171,-0.503708,0.0100333
1.84874,0.010101,-195.123,-0.498564,0.0100334
1.93277,0.010101,-191.117,-0.493422,0.0100334
2.01681,0.010101,-187.152,-0.48828,0.0100334
2.10084,0.010101,-183.229,-0.48314,0.0100335
2.18487,0.010101,-179.347,-0.478,0.0100335
2.26891,0.010101,-175.507,-0.47286,0.0100335
2.35294,0.010101,-171.709,-0.46772,0.0100335
2.43697,0.010101,-167.952,-0.46258,0.0100335
2.52101,0.010101,-164.236,-0.457441,0.0100335
2.60504,0.010101,-160.562,-0.452301,0.0100335
2.68908,0.010101,-156.93,-0.447161,0.0100335
2.77311,0.010101,-153.339,-0.442021,0.0100335
2.85714,0.010101,-149.79,-0.436882,0.0100335
2.94118,0.010101,-146.282,-0.431742,0.0100335
3.02521,0.010101,-142.815,-0.426602,0.0100335
3.10924,0.010101,-139.39,-0.421462,0.0100335
3.19328,0.010101,-136.007,-0.416322,0.0100335
3.27731,0.010101,-132.665,-0.411183,0.0100335
3.36134,0.010101,-129.365,-0.406043,0.0100335
3.44538,0.010101,-126.106,-0.400903,0.0100335
3.52941,0.010101,-122.889,-0.395763,0.0100335
3.61345,0.010101,-119.713,-0.390623,0.0100335
3.69748,0.010101,-116.578,-0.385484,0.0100335
3.78151,0.010101,-113.486,-0.380344,0.0100335
3.86555,0.010101,-110.434,-0.375204,0.0100335
3.94958,0.010101,-107.425,-0.370064,0.0100335
4.03361,0.010101,-104.456,-0.364925,0.0100335
4.11765,0.010101,-101.53,-0.359785,0.0100335
4.20168,0.010101,-98.6443,-0.354645,0.0100335
4.28571,0.010101,-95.8006,-0.349505,0.0100335
4.36975,0.010101,-92.9984,-0.344365,0.0100335
4.45378,0.010101,-90.2378,-0.339226,0.0100335
4.53782,0.010101,-87.5186,-0.334086,0.0100335
4.62185,0.010101,-84.841,-0.328946,0.0100335
4.70588,0.010101,-82.2048,-0.323806,0.0100335
4.78992,0.010101,-79.6102,-0.318667,0.0100335
4.87395,0.010101,-77.0571,-0.313527,0.0100335
4.95798,0.010101,-74.5455,-0.308387,0.0100335
5.04202,0.010101,-72.0754,-0.303247,0.0100335
5.12605,0.010101,-69.6468,-0.298107,0.0100335
5.21008,0.010101,-67.2598,-0.292968,0.0100335
5.29412,0.010101,-64.9142,-0.287828,0.0100335
5.37815,0.010101,-62.6102,-0.282688,0.0100335
5.46218,0.010101,-60.3477,-0.277548,0.0100335
5.54622,0.010101,-58.1267,-0.272409,0.0100335
