ux,uy,x,y
0,0,0,0
-0.000279645,-0.000151375,0.0840336,0
-0.000518739,-0.000266024,0.168067,0
-0.000753107,-0.00040231,0.252101,0
-0.000985615,-0.00057111,0.336134,0
-0.0012159,-0.000776036,0.420168,0
-0.00144338,-0.00101827,0.504202,0
-0.0016676,-0.00129795,0.588235,0
-0.00188828,-0.00161479,0.672269,0
-0.00210525,-0.00196825,0.756303,0
-0.00231843,-0.00235773,0.840336,0
-0.00252779,-0.00278259,0.92437,0
-0.00273334,-0.00324218,1.0084,0
-0.00293509,-0.00373585,1.09244,0
-0.00313306,-0.00426296,1.17647,0
-0.00332731,-0.00482286,1.2605,0
-0.00351785,-0.00541494,1.34454,0
-0.00370472,-0.00603858,1.42857,0
-0.00388796,-0.00669315,1.51261,0
-0.0040676,-0.00737806,1.59664,0
-0.00424368,-0.0080927,1.68067,0
-0.00441624,-0.00883647,1.76471,0
-0.00458531,-0.00960879,1.84874,0
-0.00475093,-0.0104091,1.93277,0
-0.00491312,-0.0112367,2.01681,0
-0.00507194,-0.0120912,2.10084,0
-0.0052274,-0.0129719,2.18487,0
-0.00537956,-0.0138783,2.26891,0
-0.00552844,-0.0148099,2.35294,0
-0.00567408,-0.015766,2.43697,0
-0.00581652,-0.0167462,2.52101,0
-0.00595578,-0.0177499,2.60504,0
-0.00609192,-0.0187765,2.68908,0
-0.00622495,-0.0198257,2.77311,0
-0.00635493,-0.0208967,2.85714,0
-0.00648187,-0.0219892,2.94118,0
-0.00660583,-0.0231026,3.02521,0
-0.00672683,-0.0242365,3.10924,0
-0.00684491,-0.0253902,3.19328,0
-0.00696011,-0.0265634,3.27731,0
-0.00707246,-0.0277556,3.36134,0
-0.007182,-0.0289662,3.44538,0
-0.00728876,-0.0301949,3.52941,0
-0.00739278,-0.0314411,3.61345,0
-0.00749409,-0.0327044,3.69748,0
-0.00759273,-0.0339843,3.78151,0
-0.00768874,-0.0352804,3.86555,0
-0.00778214,-0.0365923,3.94958,0
-0.00787299,-0.0379195,4.03361,0
-0.0079613,-0.0392616,4.11765,0
-0.00804713,-0.0406182,4.20168,0
-0.0081305,-0.0419888,4.28571,0
-0.00821144,-0.0433731,4.36975,0
-0.00829,-0.0447706,4.45378,0
-0.00836621,-0.046181,4.53782,0
-0.00844011,-0.0476038,4.62185,0
-0.00851173,-0.0490386,4.70588,0
-0.0085811,-0.0504852,4.78992,0
-0.00864827,-0.051943,4.87395,0
-0.00871326,-0.0534119,4.95798,0
-0.00877612,-0.0548912,5.04202,0
-0.00883688,-0.0563809,5.12605,0
-0.00889557,-0.0578803,5.21008,0
-0.00895224,-0.0593894,5.29412,0
-0.0090069,-0.0609076,5.37815,0
