ux,uy,x,y
-0.00216372,-0.014182,2.30769,0.3
-0.00234007,-0.017141,2.5641,0.3
-0.00250469,-0.0203161,2.82051,0.3
-0.00265799,-0.0236926,3.07692,0.3
-0.00280036,-0.0272562,3.33333,0.3
-0.00293221,-0.0309931,3.58974,0.3
-0.00305394,-0.0348901,3.84615,0.3
-0.00316597,-0.0389345,4.10256,0.3
-0.00326869,-0.0431142,4.35897,0.3
-0.00336251,-0.0474174,4.61538,0.3
-0.00344783,-0.051833,4.87179,0.3
-0.00352506,-0.0563504,5.12821,0.3
-0.0035946,-0.0609594,5.38462,0.3
-0.00365686,-0.0656504,5.64103,0.3
-0.00371225,-0.0704145,5.89744,0.3
-0.00376115,-0.0752429,6.15385,0.3
-0.00380399,-0.0801277,6.41026,0.3
-0.00384117,-0.0850614,6.66667,0.3
-0.00387309,-0.0900369,6.92308,0.3
-0.00390015,-0.0950478,7.17949,0.3
-0.00392276,-0.100088,7.4359,0.3
-0.00394132,-0.105152,7.69231,0.3
-0.00395625,-0.110236,7.94872,0.3
-0.00396793,-0.115334,8.20513,0.3
-0.00397679,-0.120442,8.46154,0.3
-0.00398321,-0.125558,8.71795,0.3
-0.00398762,-0.130679,8.97436,0.3
-0.0039904,-0.135801,9.23077,0.3
-0.00399196,-0.140924,9.48718,0.3
-0.00399267,-0.146046,9.74359,0.3
-0.00399287,-0.151167,10,0.3
0,0,0,0.4
-0.000137017,-0.000211586,0.25641,0.4
-0.00028088,-0.000846126,0.512821,0.4
-0.000416778,-0.00183674,0.769231,0.4
-0.000544629,-0.0031609,1.02564,0.4
-0.000665232,-0.00480056,1.28205,0.4
-0.000778935,-0.006738,1.53846,0.4
-0.000885961,-0.00895585,1.79487,0.4
-0.000986514,-0.0114373,2.05128,0.4
-0.0010808,-0.0141659,2.30769,0.4
-0.00116901,-0.0171259,2.5641,0.4
-0.00125136,-0.0203021,2.82051,0.4
-0.00132804,-0.0236795,3.07692,0.4
-0.00139926,-0.0272441,3.33333,0.4
-0.00146522,-0.0309819,3.58974,0.4
-0.00152612,-0.0348798,3.84615,0.4
-0.00158217,-0.0389251,4.10256,0.4
-0.00163357,-0.0431055,4.35897,0.4
-0.00168051,-0.0474095,4.61538,0.4
-0.00172321,-0.0518258,4.87179,0.4
-0.00176186,-0.0563439,5.12821,0.4
-0.00179666,-0.0609535,5.38462,0.4
-0.00182783,-0.0656452,5.64103,0.4
-0.00185556,-0.0704098,5.89744,0.4
-0.00188005,-0.0752388,6.15385,0.4
-0.0019015,-0.0801242,6.41026,0.4
-0.00192013,-0.0850583,6.66667,0.4
-0.00193612,-0.0900343,6.92308,0.4
-0.00194968,-0.0950456,7.17949,0.4
-0.00196103,-0.100086,7.4359,0.4
-0.00197034,-0.105151,7.69231,0.4
-0.00197784,-0.110234,7.94872,0.4
-0.00198372,-0.115333,8.20513,0.4
-0.00198818,-0.120441,8.46154,0.4
-0.00199143,-0.125558,8.71795,0.4
-0.00199367,-0.130678,8.97436,0.4
-0.00199509,-0.135801,9.23077,0.4
-0.00199591,-0.140924,9.48718,0.4
-0.00199629,-0.146046,9.74359,0.4
-0.0019964,-0.151167,10,0.4
0,0,0,0.5
-2.78E-17,-0.000204345,0.25641,0.5
-5.87E-17,-0.000837811,0.512821,0.5
-8.53E-17,-0.00182896,0.769231,0.5
-1.11E-16,-0.0031536,1.02564,0.5
-1.46E-16,-0.00479369,1.28205,0.5
-1.90E-16,-0.00673152,1.53846,0.5
-2.25E-16,-0.00894976,1.79487,0.5
-2.38E-16,-0.0114315,2.05128,0.5
-2.77E-16,-0.0141605,2.30769,0.5
-2.95E-16,-0.0171209,2.5641,0.5
-3.33E-16,-0.0202974,2.82051,0.5
-4.01E-16,-0.0236752,3.07692,0.5
-4.73E-16,-0.02724,3.33333,0.5
-5.77E-16,-0.0309782,3.58974,0.5
-6.73E-16,-0.0348763,3.84615,0.5
-7.05E-16,-0.0389219,4.10256,0.5
-8.41E-16,-0.0431026,4.35897,0.5
-1.04E-15,-0.0474068,4.61538,0.5
-1.19E-15,-0.0518234,4.87179,0.5
-1.06E-15,-0.0563417,5.12821,0.5
-1.28E-15,-0.0609516,5.38462,0.5
-1.67E-15,-0.0656435,5.64103,0.5
-2.04E-15,-0.0704083,5.89744,0.5
-2.33E-15,-0.0752375,6.15385,0.5
-2.57E-15,-0.080123,6.41026,0.5
-2.80E-15,-0.0850573,6.66667,0.5
-3.04E-15,-0.0900334,6.92308,0.5
-3.35E-15,-0.0950448,7.17949,0.5
-3.79E-15,-0.100086,7.4359,0.5
-4.33E-15,-0.10515,7.69231,0.5
-4.65E-15,-0.110234,7.94872,0.5
-4.26E-15,-0.115332,8.20513,0.5
-3.81E-15,-0.120441,8.46154,0.5
-3.41E-15,-0.125557,8.71795,0.5
-3.10E-15,-0.130678,8.97436,0.5
-2.75E-15,-0.135801,9.23077,0.5
-2.41E-15,-0.140924,9.48718,0.5
-2.20E-15,-0.146046,9.74359,0.5
-1.84E-15,-0.151167,10,0.5
0,0,0,0.6
0.000137017,-0.000211586,0.25641,0.6
0.00028088,-0.000846126,0.512821,0.6
0.000416778,-0.00183674,0.769231,0.6
0.000544629,-0.0031609,1.02564,0.6
0.000665232,-0.00480056,1.28205,0.6
0.000778935,-0.006738,1.53846,0.6
0.000885961,-0.00895585,1.79487,0.6
0.000986514,-0.0114373,2.05128,0.6
0.0010808,-0.0141659,2.30769,0.6
0.00116901,-0.0171259,2.5641,0.6
0.00125136,-0.0203021,2.82051,0.6
