x,y,sxx,sxy,syy
0,0,-348.127,-44.4859,-74.125
0.25641,0,-267.112,3.56289,-0.0553569
0.512821,0,-267.61,0.235821,0.350211
0.769231,0,-255.199,-0.09976,0.0559018
1.02564,0,-241.392,-0.116662,0.00927531
1.28205,0,-227.792,-0.112046,0.00574155
1.53846,0,-214.575,-0.108185,0.00551573
1.79487,0,-201.754,-0.104817,0.00548111
2.05128,0,-189.328,-0.101534,0.00547195
2.30769,0,-177.296,-0.0982587,0.00547002
2.5641,0,-165.659,-0.0949837,0.00546973
2.82051,0,-154.417,-0.0917084,0.00546969
3.07692,0,-143.568,-0.0884331,0.00546969
3.33333,0,-133.115,-0.0851578,0.00546969
3.58974,0,-123.056,-0.0818825,0.00546969
3.84615,0,-113.391,-0.0786072,0.00546969
4.10256,0,-104.121,-0.0753319,0.00546969
4.35897,0,-95.2449,-0.0720566,0.00546969
4.61538,0,-86.7637,-0.0687813,0.00546969
4.87179,0,-78.6769,-0.065506,0.00546969
5.12821,0,-70.9846,-0.0622307,0.00546969
5.38462,0,-63.6868,-0.0589554,0.00546969
5.64103,0,-56.7834,-0.0556801,0.00546969
5.89744,0,-50.2745,-0.0524048,0.00546969
6.15385,0,-44.1601,-0.0491295,0.00546969
6.41026,0,-38.4402,-0.0458542,0.00546969
6.66667,0,-33.1148,-0.0425789,0.00546969
6.92308,0,-28.1838,-0.0393036,0.00546969
7.17949,0,-23.6473,-0.0360283,0.00546969
7.4359,0,-19.5053,-0.032753,0.00546969
7.69231,0,-15.7578,-0.0294777,0.00546969
7.94872,0,-12.4047,-0.0262024,0.00546969
8.20513,0,-9.44612,-0.0229271,0.00546964
8.46154,0,-6.88201,-0.019652,0.00546955
8.71795,0,-4.71237,-0.0163802,0.00547081
8.97436,0,-2.93713,-0.0131301,0.00548899
9.23077,0,-1.55655,-0.00996086,0.00562415
9.48718,0,-0.575293,-0.00667237,0.00620267
9.74359,0,-0.0295769,0.00192539,0.00338721
10,0,0.0438352,0.017313,0.00477009
0,0.1,-234.643,-25.9838,-63.2899
0.25641,0.1,-229.911,-2.99744,4.52641
0.512821,0.1,-215.589,-4.40778,1.05983
0.769231,0.1,-204.377,-5.02089,0.19153
1.02564,0.1,-193.251,-5.00335,0.087576
1.28205,0.1,-182.373,-4.87267,0.0769638
1.53846,0.1,-171.801,-4.72956,0.0763166
1.79487,0.1,-161.545,-4.58603,0.076354
2.05128,0.1,-151.604,-4.44267,0.0763718
2.30769,0.1,-141.979,-4.29935,0.0763746
2.5641,0.1,-132.669,-4.15603,0.0763749
2.82051,0.1,-123.675,-4.01272,0.0763748
3.07692,0.1,-114.997,-3.86941,0.0763748
3.33333,0.1,-106.634,-3.7261,0.0763748
3.58974,0.1,-98.5863,-3.58279,0.0763748
3.84615,0.1,-90.8545,-3.43948,0.0763748
4.10256,0.1,-83.4383,-3.29617,0.0763748
4.35897,0.1,-76.3377,-3.15285,0.0763748
4.61538,0.1,-69.5527,-3.00954,0.0763748
4.87179,0.1,-63.0833,-2.86623,0.0763748
5.12821,0.1,-56.9295,-2.72292,0.0763748
5.38462,0.1,-51.0912,-2.57961,0.0763748
5.64103,0.1,-45.5685,-2.4363,0.0763748
5.89744,0.1,-40.3614,-2.29298,0.0763748
6.15385,0.1,-35.4699,-2.14967,0.0763748
6.41026,0.1,-30.894,-2.00636,0.0763748
6.66667,0.1,-26.6336,-1.86305,0.0763748
6.92308,0.1,-22.6888,-1.71974,0.0763748
7.17949,0.1,-19.0596,-1.57643,0.0763748
7.4359,0.1,-15.746,-1.43312,0.0763748
7.69231,0.1,-12.748,-1.2898,0.0763748
7.94872,0.1,-10.0656,-1.14649,0.0763748
8.20513,0.1,-7.69869,-1.00318,0.076375
8.46154,0.1,-5.6474,-0.859871,0.0763758
8.71795,0.1,-3.9117,-0.716569,0.0763792
8.97436,0.1,-2.49159,-0.57326,0.0763757
9.23077,0.1,-1.38733,-0.429549,0.0761776
9.48718,0.1,-0.6009,-0.282001,0.0742642
9.74359,0.1,-0.138185,-0.115529,0.0663696
10,0.1,0.0157515,0.0239943,0.116448
0,0.2,-165.674,-9.59177,-47.0839
0.25641,0.2,-174.937,-11.8262,-1.06584
0.512821,0.2,-162.863,-8.93319,0.657246
0.769231,0.2,-153.506,-8.9172,0.251096
1.02564,0.2,-145.03,-8.75983,0.120419
1.28205,0.2,-136.862,-8.52236,0.100852
1.53846,0.2,-128.934,-8.27249,0.0993408
1.79487,0.2,-121.242,-8.02171,0.0994244
2.05128,0.2,-113.787,-7.77099,0.0994749
2.30769,0.2,-106.568,-7.52031,0.0994843
2.5641,0.2,-99.5855,-7.26963,0.0994853
2.82051,0.2,-92.84,-7.01896,0.0994854
3.07692,0.2,-86.3311,-6.76828,0.0994854
3.33333,0.2,-80.0589,-6.5176,0.0994854
3.58974,0.2,-74.0234,-6.26692,0.0994854
3.84615,0.2,-68.2246,-6.01625,0.0994854
4.10256,0.2,-62.6624,-5.76557,0.0994854
4.35897,0.2,-57.337,-5.51489,0.0994854
4.61538,0.2,-52.2482,-5.26422,0.0994854
4.87179,0.2,-47.3962,-5.01354,0.0994854
5.12821,0.2,-42.7808,-4.76286,0.0994854
5.38462,0.2,-38.4021,-4.51219,0.0994854
5.64103,0.2,-34.2601,-4.26151,0.0994854
5.89744,0.2,-30.3548,-4.01083,0.0994854
6.15385,0.2,-26.6861,-3.76015,0.0994854
6.41026,0.2,-23.2542,-3.50948,0.0994854
6.66667,0.2,-20.0589,-3.2588,0.0994854
6.92308,0.2,-17.1003,-3.00812,0.0994854
7.17949,0.2,-14.3784,-2.75745,0.0994854
7.4359,0.2,-11.8932,-2.50677,0.0994854
7.69231,0.2,-9.64469,-2.25609,0.0994854
7.94872,0.2,-7.63286,-2.00542,0.0994854
8.20513,0.2,-5.85771,-1.75474,0.0994857
8.46154,0.2,-4.31925,-1.50406,0.0994877
8.71795,0.2,-3.01749,-1.25339,0.0994922
8.97436,0.2,-1.95244,-1.00269,0.099445
9.23077,0.2,-1.12401,-0.751544,0.0987452
9.48718,0.2,-0.529962,-0.497214,0.0938264
9.74359,0.2,-0.155108,-0.232486,0.0789291
10,0.2,0.0179873,0.00627131,0.184258
0,0.3,-108.277,-0.119904,-31.3868
0.25641,0.3,-116.179,-14.269,-3.26556
0.512821,0.3,-109.17,-12.3327,0.61114
0.769231,0.3,-102.499,-11.7984,0.280472
1.02564,0.3,-96.7383,-11.463,0.116514
1.28205,0.3,-91.2813,-11.1372,0.0888171
1.53846,0.3,-85.9959,-10.8101,0.0862527
1.79487,0.3,-80.8681,-10.4826,0.0862668
2.05128,0.3,-75.8978,-10.1551,0.0863228
2.30769,0.3,-71.0852,-9.82748,0.0863347
2.5641,0.3,-66.4303,-9.4999,0.0863361
2.82051,0.3,-61.9333,-9.17231,0.0863362
3.07692,0.3,-57.594,-8.84473,0.0863362
3.33333,0.3,-53.4126,-8.51715,0.0863362
3.58974,0.3,-49.3889,-8.18957,0.0863362
3.84615,0.3,-45.523,-7.86198,0.0863362
4.10256,0.3,-41.815,-7.5344,0.0863362
4.35897,0.3,-38.2647,-7.20682,0.0863362
4.61538,0.3,-34.8722,-6.87924,0.0863362
4.87179,0.3,-31.6374,-6.55165,0.0863362
5.12821,0.3,-28.5605,-6.22407,0.0863362
5.38462,0.3,-25.6414,-5.89649,0.0863362
5.64103,0.3,-22.88,-5.5689,0.0863362
5.89744,0.3,-20.2765,-5.24132,0.0863362
6.15385,0.3,-17.8307,-4.91374,0.0863362
6.41026,0.3,-15.5428,-4.58616,0.0863362
6.66667,0.3,-13.4126,-4.25857,0.0863362
6.92308,0.3,-11.4402,-3.93099,0.0863362
7.17949,0.3,-9.6256,-3.60341,0.0863362
7.4359,0.3,-7.9688,-3.27583,0.0863362
7.69231,0.3,-6.46978,-2.94824,0.0863362
7.94872,0.3,-5.12856,-2.62066,0.0863362
8.20513,0.3,-3.94513,-2.29308,0.0863367
8.46154,0.3,-2.91949,-1.9655,0.086339
8.71795,0.3,-2.05166,-1.63791,0.0863418
8.97436,0.3,-1.34163,-1.31031,0.0862634
9.23077,0.3,-0.788988,-0.982653,0.0853187
9.48718,0.3,-0.389325,-0.655225,0.0793994
9.74359,0.3,-0.122145,-0.33241,0.0647041
10,0.3,0.0150315,-0.00972476,0.174373
0,0.4,-53.6883,4.75609,-15.6818
0.25641,0.4,-57.8015,-14.7399,-2.38107
0.512821,0.4,-54.776,-14.5426,0.348445
0.769231,0.4,-51.3097,-13.5927,0.176629
1.02564,0.4,-48.3867,-13.0953,0.0699668
1.28205,0.4,-45.6528,-12.7072,0.0509788
1.53846,0.4,-43.0099,-12.333,0.0491277
1.79487,0.4,-40.446,-11.9594,0.0491219
2.05128,0.4,-37.9609,-11.5858,0.0491595
2.30769,0.4,-35.5546,-11.212,0.0491679
2.5641,0.4,-33.2272,-10.8383,0.049169
2.82051,0.4,-30.9786,-10.4646,0.049169
3.07692,0.4,-28.809,-10.0908,0.049169
3.33333,0.4,-26.7183,-9.7171,0.049169
3.58974,0.4,-24.7065,-9.34337,0.049169
3.84615,0.4,-22.7735,-8.96963,0.049169
4.10256,0.4,-20.9195,-8.5959,0.049169
4.35897,0.4,-19.1443,-8.22216,0.049169
4.61538,0.4,-17.4481,-7.84843,0.049169
4.87179,0.4,-15.8307,-7.47469,0.049169
5.12821,0.4,-14.2923,-7.10096,0.049169
5.38462,0.4,-12.8327,-6.72722,0.049169
5.64103,0.4,-11.452,-6.35349,0.049169
