ux,uy,x,y
0,0,0,0
-0.000326896,-0.00017188,0.1,0
-0.000608019,-0.000314129,0.2,0
-0.00088568,-0.000493909,0.3,0
-0.00116064,-0.000723103,0.4,0
-0.00143184,-0.00100485,0.5,0
-0.00169846,-0.00133962,0.6,0
-0.00196004,-0.0017269,0.7,0
-0.00221632,-0.00216577,0.8,0
-0.00246722,-0.00265518,0.9,0
-0.0027127,-0.00319403,1,0
-0.0029528,-0.00378123,1.1,0
-0.00318757,-0.0044157,1.2,0
-0.00341707,-0.00509637,1.3,0
-0.00364134,-0.00582219,1.4,0
-0.00386045,-0.00659212,1.5,0
-0.00407446,-0.00740513,1.6,0
-0.00428343,-0.00826021,1.7,0
-0.00448742,-0.00915635,1.8,0
-0.00468649,-0.0100926,1.9,0
-0.0048807,-0.0110679,2,0
-0.00507011,-0.0120813,2.1,0
-0.00525478,-0.013132,2.2,0
-0.00543477,-0.0142188,2.3,0
-0.00561014,-0.015341,2.4,0
-0.00578095,-0.0164975,2.5,0
-0.00594726,-0.0176876,2.6,0
-0.00610913,-0.0189102,2.7,0
-0.00626662,-0.0201645,2.8,0
-0.00641979,-0.0214497,2.9,0
-0.0065687,-0.0227648,3,0
-0.00671341,-0.0241091,3.1,0
-0.00685398,-0.0254816,3.2,0
-0.00699047,-0.0268817,3.3,0
-0.00712294,-0.0283084,3.4,0
-0.00725145,-0.0297609,3.5,0
-0.00737606,-0.0312386,3.6,0
-0.00749683,-0.0327405,3.7,0
-0.00761382,-0.034266,3.8,0
-0.00772709,-0.0358143,3.9,0
-0.0078367,-0.0373847,4,0
-0.00794271,-0.0389764,4.1,0
-0.00804518,-0.0405887,4.2,0
-0.00814417,-0.0422209,4.3,0
-0.00823974,-0.0438723,4.4,0
-0.00833195,-0.0455423,4.5,0
-0.00842086,-0.0472302,4.6,0
-0.00850653,-0.0489353,4.7,0
-0.00858902,-0.050657,4.8,0
-0.00866839,-0.0523946,4.9,0
-0.0087447,-0.0541476,5,0
-0.00881801,-0.0559153,5.1,0
-0.00888838,-0.0576972,5.2,0
-0.00895587,-0.0594926,5.3,0
-0.00902054,-0.0613009,5.4,0
-0.00908245,-0.0631217,5.5,0
-0.00914166,-0.0649544,5.6,0
-0.00919823,-0.0667985,5.7,0
-0.00925222,-0.0686533,5.8,0
-0.00930369,-0.0705185,5.9,0
-0.0093527,-0.0723935,6,0
-0.00939931,-0.0742778,6.1,0
-0.00944358,-0.076171,6.2,0
-0.00948557,-0.0780726,6.3,0
-0.00952534,-0.0799821,6.4,0
-0.00956295,-0.0818992,6.5,0
-0.00959846,-0.0838233,6.6,0
-0.00963193,-0.085754,6.7,0
-0.00966342,-0.0876911,6.8,0
-0.00969299,-0.089634,6.9,0
-0.0097207,-0.0915824,7,0
-0.00974661,-0.093536,7.1,0
-0.00977078,-0.0954943,7.2,0
-0.00979327,-0.097457,7.3,0
-0.00981414,-0.0994239,7.4,0
-0.00983345,-0.101395,7.5,0
